iter	Logloss
0	0.6929291869
1	0.6927371529
2	0.6926162538
3	0.6924292049
4	0.6922996361
5	0.6921650823
6	0.6920514225
7	0.6919181691
8	0.6917943223
9	0.6916116949
10	0.6914884117
11	0.6913096857
12	0.6911777328
13	0.6910593046
14	0.6909323368
15	0.6908082733
16	0.6905992033
17	0.690426286
18	0.6902373731
19	0.690066103
20	0.6899602459
21	0.6897670415
22	0.6895965951
23	0.6894210769
24	0.6893145695
25	0.6891188943
26	0.689007922
27	0.6888347013
28	0.6887183972
29	0.6885187338
30	0.6883337223
31	0.6881402578
32	0.687959321
33	0.6877828925
34	0.6875947599
35	0.6874034195
36	0.687232843
37	0.6871354822
38	0.686946786
39	0.6868368108
40	0.6867377161
41	0.6865611575
42	0.6863867664
43	0.6862344396
44	0.6860734432
45	0.6858971013
46	0.6857909841
47	0.6856385273
48	0.6854745398
49	0.6853793898
50	0.6852776942
51	0.6850960638
52	0.6849172945
53	0.684825569
54	0.684670728
55	0.6845900998
56	0.6844400705
57	0.6843266707
58	0.6842033875
59	0.684106937
60	0.6839220555
61	0.6837591517
62	0.6835846306
63	0.6834447882
64	0.683268273
65	0.6831188939
66	0.6829660904
67	0.6828188354
68	0.6826506864
69	0.6825174764
70	0.6823628088
71	0.6822165075
72	0.6821224846
73	0.6819702012
74	0.6818820303
75	0.6817992779
76	0.6816172574
77	0.6814477213
78	0.6812911031
79	0.6811556389
80	0.6809746588
81	0.6807682764
82	0.6806637631
83	0.6805054543
84	0.6803976031
85	0.6802539895
86	0.6800965476
87	0.6798705717
88	0.6797765054
89	0.6795700797
90	0.6794353958
91	0.679268634
92	0.6791041696
93	0.6790710947
94	0.6788347152
95	0.6786911882
96	0.6785943042
97	0.6784593169
98	0.6782823682
99	0.6781144793
100	0.6779811392
101	0.6778301563
102	0.6776135437
103	0.6775092471
104	0.6774086352
105	0.6772644146
106	0.6771403078
107	0.6769464965
108	0.6767992415
109	0.6766432301
110	0.6764707463
111	0.6763440386
112	0.6762462876
113	0.6761140313
114	0.6759667329
115	0.6758525096
116	0.6757502937
117	0.6756258401
118	0.6754406552
119	0.6752941371
120	0.6751407267
121	0.6749931249
122	0.6749041304
123	0.6747380622
124	0.6745505364
125	0.6744018943
126	0.6743115993
127	0.6742822957
128	0.67419963
129	0.6740862736
130	0.6739474283
131	0.6737811867
132	0.6736837392
133	0.6735875054
134	0.6734252519
135	0.6732068186
136	0.6730834487
137	0.6729491549
138	0.6728209733
139	0.6727025885
140	0.6725727163
141	0.6723950307
142	0.6722583094
143	0.6721657169
144	0.6720388358
145	0.6719171131
146	0.6717623588
147	0.6716410263
148	0.6715100704
149	0.6713629021
150	0.6711897681
151	0.6710304622
152	0.6709139847
153	0.6707790841
154	0.6706289681
155	0.6705398869
156	0.6704453004
157	0.6703534015
158	0.6702130823
159	0.6700666943
160	0.6699440613
161	0.669861439
162	0.6697211632
163	0.6696013045
164	0.6694621123
165	0.669370777
166	0.6692722458
167	0.6692032783
168	0.6690604882
169	0.6688897817
170	0.6687856152
171	0.6687084548
172	0.6685714734
173	0.6684484069
174	0.6683508727
175	0.6682651293
176	0.6681421495
177	0.6680371161
178	0.667860991
179	0.6678205034
180	0.6677208018
181	0.6676107832
182	0.6674880202
183	0.6673825099
184	0.6672219469
185	0.6671038655
186	0.6669599917
187	0.6668410867
188	0.6667009843
189	0.6666226968
190	0.666488143
191	0.6663422752
192	0.6662026062
193	0.6660649312
194	0.6659246987
195	0.6658290719
196	0.6657141983
197	0.6655958134
198	0.6654632536
199	0.6653849228
200	0.6651959232
201	0.6650312422
202	0.6648958213
203	0.6648152798
204	0.6646754374
205	0.6645684966
206	0.6644627262
207	0.6643039405
208	0.6641577692
209	0.6640808256
210	0.6639604034
211	0.6638377704
212	0.6636703583
213	0.6635151273
214	0.6634430386
215	0.6633707333
216	0.663234012
217	0.6630732757
218	0.6629322629
219	0.6628748261
220	0.6627948047
221	0.6626439518
222	0.6624843425
223	0.6623539068
224	0.6622262887
225	0.6620995809
226	0.6619577012
227	0.6618894273
228	0.6617762876
229	0.6616740284
230	0.6615275104
231	0.6614564188
232	0.6613365167
233	0.6612417568
234	0.6611263631
235	0.6609885147
236	0.660925616
237	0.6608460714
238	0.6607597212
239	0.6606301524
240	0.6604981128
241	0.6603998417
242	0.6603786009
243	0.6602621667
244	0.6602128361
245	0.6600806664
246	0.6600165106
247	0.6599047581
248	0.6597654792
249	0.6596425862
250	0.6594875285
251	0.6593610374
252	0.6592864346
253	0.6592149529
254	0.6590717727
255	0.6589397764
256	0.658844453
257	0.6587234239
258	0.6585775127
259	0.6584873911
260	0.6583084917
261	0.6581911039
262	0.6581427269
263	0.6580007605
264	0.6579152772
265	0.6578043917
266	0.6577023926
267	0.6575810167
268	0.6575436936
269	0.6574364927
270	0.6573344502
271	0.6571902297
272	0.6570767432
273	0.6570137144
274	0.6569670281
275	0.6568590469
276	0.6567553138
277	0.6566935422
278	0.6565468074
279	0.656409696
280	0.6563070467
281	0.6562258115
282	0.6561615256
283	0.6560610871
284	0.6559702719
285	0.6558500231
286	0.6557544396
287	0.6556452446
288	0.6555386506
289	0.655452257
290	0.65532776
291	0.6552245038
292	0.6551613016
293	0.6549937162
294	0.6549068457
295	0.6548414328
296	0.6547007668
297	0.6546011085
298	0.6545053083
299	0.6543857097
300	0.654283884
301	0.654166106
302	0.6540135625
303	0.6538891089
304	0.6538078738
305	0.6536905293
306	0.6535845421
307	0.6535023533
308	0.6534438761
309	0.6532987019
310	0.653192498
311	0.6530520921
312	0.6529288089
313	0.6528013208
314	0.6527366448
315	0.6526377668
316	0.6525141802
317	0.6524205907
318	0.6522917589
319	0.6521922306
320	0.6520680371
321	0.6520011503
322	0.6519389885
323	0.6518839359
324	0.6517891326
325	0.6517156135
326	0.6516595205
327	0.6515332462
328	0.6514187194
329	0.6513667012
330	0.6512401235
331	0.6511773548
332	0.6510520342
333	0.6509328257
334	0.6508697536
335	0.6508092824
336	0.6506805806
337	0.6506185922
338	0.6504940952
339	0.6504261247
340	0.6503784847
341	0.6502640879
342	0.650159618
343	0.6500448744
344	0.6499429187
345	0.6498300391
346	0.649786994
347	0.6497076228
348	0.6496071843
349	0.6495522617
350	0.6494421131
351	0.6493538121
352	0.6492395454
353	0.6491155252
354	0.6490365875
355	0.6489796709
356	0.6488512292
357	0.6487700808
358	0.6486565076
359	0.648535912
360	0.6485191795
361	0.648422859
362	0.6483150946
363	0.6482190342
364	0.6481623344
365	0.6480346296
366	0.6479801405
367	0.6479177619
368	0.6478050558
369	0.6477235605
370	0.6476108977
371	0.647542537
372	0.6474443526
373	0.6473280052
374	0.6472231451
375	0.6471256976
376	0.6470485372
377	0.646981607
378	0.6468745362
379	0.6467906568
380	0.6467022691
381	0.6465387151
382	0.6464389268
383	0.6463628934
384	0.6462551723
385	0.6461751076
386	0.6460741489
387	0.6459808628
388	0.6459313588
389	0.6458931688
390	0.6458309636
391	0.6457224622
392	0.6456193361
393	0.6454840887
394	0.6454116966
395	0.6453628862
396	0.6451969046
397	0.6451186605
398	0.6450032667
399	0.6448678893
400	0.6447962775
401	0.6446685727
402	0.6445977846
403	0.6444628839
404	0.6443791779
405	0.6443243854
406	0.6442745779
407	0.644226331
408	0.6441429284
409	0.6440245869
410	0.6439472098
411	0.6438387518
412	0.6437488036
413	0.643670993
414	0.6435616246
415	0.6435062252
416	0.6434030123
417	0.6432973286
418	0.6432770849
419	0.6431879603
420	0.6431004396
421	0.6430191611
422	0.6429472459
423	0.6429317271
424	0.6428137757
425	0.6427401266
426	0.6426460169
427	0.6425509536
428	0.6424247227
429	0.642344788
430	0.6423278821
431	0.6422567905
432	0.6421900771
433	0.6421038135
434	0.6420502347
435	0.6419476287
436	0.6418686477
437	0.641854256
438	0.6417803034
439	0.641677524
440	0.6416004503
441	0.6415135365
442	0.6414980611
443	0.6414484704
444	0.6413330766
445	0.6412600777
446	0.64112405
447	0.6410500974
448	0.6409510026
449	0.6408793909
450	0.640786755
451	0.6407200417
452	0.6406257153
453	0.6405482948
454	0.6404821449
455	0.6404414406
456	0.6403956646
457	0.640311135
458	0.6401782717
459	0.6401637066
460	0.6400932652
461	0.6400198762
462	0.6399052627
463	0.6398072083
464	0.6397610421
465	0.6396721776
466	0.6395860441
467	0.6395027715
468	0.6394188488
469	0.6392890633
470	0.6392750183
471	0.6391780043
472	0.6391074763
473	0.639002096
474	0.6389315679
475	0.638857702
476	0.6387954102
477	0.638674121
478	0.6385626286
479	0.6385324146
480	0.6383484868
481	0.6382939977
482	0.6382516896
483	0.6381718849
484	0.6381056483
485	0.6379778569
486	0.6379092362
487	0.6378961882
488	0.6378112251
489	0.6377356253
490	0.6377224473
491	0.6376166336
492	0.6375190994
493	0.6374424592
494	0.6374035322
495	0.6372880517
496	0.6372590515
497	0.6372182606
498	0.6371524575
499	0.6370413552
500	0.6369519705
501	0.6368611987
502	0.636772681
503	0.6366953472
504	0.636666087
505	0.6365445377
506	0.6365051339
507	0.6364517718
508	0.6363855786
509	0.6363387622
510	0.6362502011
511	0.636212618
512	0.636157652
513	0.636111009
514	0.6360377066
515	0.6359715134
516	0.6358569433
517	0.6358436786
518	0.6357694226
519	0.6357203087
520	0.635618613
521	0.6356059986
522	0.6355348203
523	0.6354678902
524	0.6354228511
525	0.6354051215
526	0.6352920685
527	0.6352633285
528	0.6351853878
529	0.6350854694
530	0.6349963882
531	0.6349278975
532	0.634881688
533	0.6348138042
534	0.6347573644
535	0.6346638616
536	0.6346237642
537	0.6345572676
538	0.6344769861
539	0.634361549
540	0.6342739849
541	0.6342251745
542	0.6341548632
543	0.6341288107
544	0.6340767057
545	0.6340407698
546	0.6339281937
547	0.6338882263
548	0.6338157909
549	0.6337215946
550	0.6336386688
551	0.6335373633
552	0.6334293388
553	0.6333738093
554	0.6333311977
555	0.6332128996
556	0.633119917
557	0.6330317894
558	0.6329604377
559	0.6329021773
560	0.63284344
561	0.6327362391
562	0.6326667947
563	0.6325873369
564	0.6325018102
565	0.632390838
566	0.6322406787
567	0.632214106
568	0.63216846
569	0.6320401484
570	0.6320036056
571	0.6319542316
572	0.6318706123
573	0.6318016447
574	0.6317415203
575	0.6317048908
576	0.6316309382
577	0.6315981667
578	0.6315354848
579	0.6314819927
580	0.6314065662
581	0.631297458
582	0.6312276668
583	0.631114007
584	0.6310543161
585	0.6309884263
586	0.6308981746
587	0.6308296406
588	0.6307927077
589	0.6307542142
590	0.6306403809
591	0.6305604029
592	0.6305491756
593	0.6304626086
594	0.6304178729
595	0.6303830207
596	0.630303953
597	0.6302300871
598	0.630188039
599	0.630120502
600	0.6300568663
601	0.6299940977
602	0.6299003348
603	0.6298550789
604	0.6297930472
605	0.6297002813
606	0.6296687669
607	0.629611937
608	0.6294581364
609	0.6294272289
610	0.6294150913
611	0.6293727398
612	0.6292490664
613	0.6291430359
614	0.6290635781
615	0.6289650035
616	0.6288693767
617	0.6288074316
618	0.6287133653
619	0.6286897403
620	0.6286740915
621	0.6286044738
622	0.6285476872
623	0.6285103208
624	0.6284563518
625	0.6283963141
626	0.6283464633
627	0.628282871
628	0.6282227466
629	0.628145933
630	0.6280751449
631	0.6280411596
632	0.6279588407
633	0.6279229915
634	0.6278521167
635	0.6278230731
636	0.6277678471
637	0.6277147452
638	0.6276276146
639	0.6275426515
640	0.6274636271
641	0.6274131694
642	0.6273212272
643	0.6272902763
644	0.6272342267
645	0.6271867167
646	0.6271556358
647	0.627106782
648	0.6270522495
649	0.6269746123
650	0.6269399335
651	0.6268713561
652	0.6267578697
653	0.6266928035
654	0.6266448167
655	0.626634153
656	0.6266048493
657	0.6265624111
658	0.6264899324
659	0.6263908376
660	0.6263524308
661	0.6262639565
662	0.6262020981
663	0.6261332607
664	0.6260968479
665	0.6260350329
666	0.6259518037
667	0.625904207
668	0.6258190272
669	0.6257850853
670	0.6256782311
671	0.6256202741
672	0.6255633575
673	0.6255093886
674	0.6254341355
675	0.625394515
676	0.6253413697
677	0.6252974576
678	0.6252611316
679	0.625204345
680	0.6251269245
681	0.6250972741
682	0.6250292603
683	0.6250021674
684	0.6249283882
685	0.6248481067
686	0.6247905399
687	0.6246915318
688	0.6246177526
689	0.6245528165
690	0.6244927788
691	0.62441046
692	0.6243356837
693	0.6242720481
694	0.6242223707
695	0.6241632866
696	0.6241375376
697	0.6240875134
698	0.6240062783
699	0.6239292046
700	0.6238360486
701	0.6238069184
