iter	Passed	Remaining
0	10	10223
1	20	10327
2	30	10213
3	39	9953
4	50	10061
5	61	10264
6	71	10146
7	81	10127
8	91	10062
9	101	10097
10	112	10143
11	122	10092
12	132	10049
13	142	10016
14	151	9981
15	162	9993
16	172	9970
17	182	9958
18	191	9900
19	202	9916
20	212	9914
21	222	9892
22	232	9879
23	242	9866
24	253	9885
25	263	9873
26	273	9849
27	283	9838
28	293	9839
29	303	9823
30	313	9807
31	322	9768
32	333	9764
33	342	9731
34	352	9724
35	363	9727
36	373	9711
37	383	9708
38	396	9764
39	406	9744
40	416	9742
41	426	9737
42	436	9714
43	447	9718
44	456	9685
45	466	9676
46	476	9666
47	486	9656
48	496	9641
49	506	9618
50	515	9597
51	526	9594
52	536	9591
53	547	9584
54	557	9581
55	567	9567
56	578	9566
57	588	9562
58	598	9547
59	608	9534
60	618	9521
61	628	9504
62	638	9493
63	648	9477
64	658	9467
65	667	9443
66	677	9433
67	687	9426
68	696	9402
69	706	9392
70	716	9369
71	726	9365
72	736	9350
73	745	9332
74	755	9322
75	765	9303
76	775	9295
77	786	9291
78	795	9277
79	805	9263
80	815	9248
81	825	9242
82	835	9232
83	845	9220
84	855	9210
85	865	9195
86	875	9186
87	885	9179
88	895	9164
89	905	9159
90	915	9148
91	926	9139
92	936	9131
93	945	9117
94	956	9107
95	965	9094
96	976	9087
97	986	9078
98	996	9070
99	1006	9059
100	1016	9048
101	1025	9032
102	1035	9021
103	1045	9005
104	1055	8998
105	1064	8979
106	1074	8969
107	1085	8962
108	1095	8952
109	1105	8946
110	1116	8940
111	1125	8927
112	1135	8916
113	1145	8900
114	1155	8891
115	1165	8878
116	1175	8870
117	1186	8865
118	1195	8852
119	1206	8845
120	1216	8838
121	1226	8825
122	1235	8811
123	1245	8797
124	1255	8790
125	1266	8782
126	1276	8773
127	1286	8763
128	1296	8751
129	1306	8741
130	1317	8737
131	1327	8726
132	1337	8717
133	1346	8702
134	1356	8694
135	1366	8682
136	1376	8667
137	1386	8660
138	1395	8646
139	1405	8636
140	1417	8633
141	1426	8619
142	1436	8609
143	1446	8595
144	1456	8587
145	1467	8582
146	1476	8566
147	1486	8557
148	1496	8544
149	1506	8537
150	1516	8527
151	1526	8517
152	1536	8507
153	1546	8493
154	1555	8481
155	1565	8471
156	1576	8464
157	1585	8451
158	1595	8438
159	1605	8427
160	1615	8418
161	1624	8405
162	1635	8396
163	1644	8380
164	1654	8370
165	1664	8361
166	1673	8349
167	1684	8340
168	1693	8328
169	1703	8318
170	1714	8309
171	1724	8299
172	1734	8289
173	1743	8277
174	1753	8267
175	1763	8257
176	1773	8244
177	1783	8234
178	1793	8224
179	1803	8216
180	1814	8208
181	1824	8198
182	1834	8190
183	1844	8179
184	1854	8169
185	1864	8159
186	1874	8149
187	1884	8139
188	1894	8128
189	1904	8119
190	1914	8110
191	1924	8098
192	1935	8091
193	1944	8078
194	1954	8070
195	1965	8061
196	1975	8051
197	1985	8041
198	1995	8033
199	2005	8022
200	2015	8011
201	2024	7999
202	2035	7990
203	2046	7983
204	2055	7970
205	2065	7960
206	2074	7947
207	2084	7938
208	2094	7928
209	2105	7920
210	2115	7909
211	2124	7898
212	2135	7888
213	2145	7880
214	2155	7869
215	2166	7861
216	2175	7850
217	2185	7840
218	2195	7830
219	2205	7820
220	2216	7812
221	2226	7801
222	2236	7792
223	2246	7783
224	2256	7772
225	2266	7763
226	2276	7750
227	2287	7743
228	2296	7733
229	2306	7722
230	2317	7713
231	2328	7706
232	2338	7696
233	2348	7689
234	2358	7677
235	2368	7667
236	2378	7656
237	2387	7644
238	2397	7634
239	2406	7621
240	2417	7612
241	2427	7602
242	2437	7591
243	2447	7584
244	2456	7571
245	2467	7561
246	2477	7552
247	2486	7540
248	2496	7530
249	2506	7518
250	2515	7507
251	2525	7495
252	2536	7489
253	2547	7482
254	2557	7470
255	2567	7461
256	2578	7453
257	2588	7444
258	2599	7437
259	2609	7426
260	2619	7416
261	2630	7408
262	2639	7397
263	2650	7388
264	2660	7380
265	2670	7368
266	2680	7358
267	2690	7347
268	2700	7338
269	2710	7328
270	2720	7319
271	2730	7308
272	2740	7297
273	2750	7288
274	2761	7279
275	2770	7267
276	2780	7258
277	2790	7246
278	2800	7237
279	2810	7228
280	2820	7216
281	2830	7207
282	2840	7196
283	2850	7187
284	2861	7178
285	2871	7168
286	2882	7159
287	2892	7150
288	2902	7141
289	2913	7132
290	2923	7122
291	2933	7112
292	2943	7103
293	2953	7092
294	2963	7082
295	2973	7071
296	2984	7063
297	2994	7053
298	3003	7041
299	3013	7032
300	3024	7024
301	3034	7013
302	3044	7002
303	3053	6991
304	3064	6981
305	3074	6972
306	3083	6961
307	3094	6951
308	3103	6940
309	3113	6930
310	3124	6921
311	3134	6911
312	3143	6899
313	3153	6889
314	3164	6882
315	3175	6874
316	3185	6864
317	3196	6854
318	3205	6843
319	3216	6834
320	3226	6824
321	3237	6816
322	3247	6806
323	3257	6795
324	3266	6785
325	3277	6775
326	3286	6764
327	3297	6754
328	3307	6745
329	3317	6735
330	3327	6725
331	3336	6713
332	3347	6704
333	3357	6695
334	3366	6683
