iter	MultiClass
0	1.035266798
1	0.987842767
2	0.9517251741
3	0.923853887
4	0.902011475
5	0.8840686353
6	0.8698164808
7	0.858394835
8	0.8499609374
9	0.8269399558
10	0.8094901941
11	0.7957139908
12	0.7835924841
13	0.7742768388
14	0.7671474936
15	0.7613317987
16	0.7549373345
17	0.749820863
18	0.7469659469
19	0.7443070043
20	0.7411068442
21	0.7386668196
22	0.736952793
23	0.735593188
24	0.7340427291
25	0.7328388728
26	0.7317688356
27	0.7306188556
28	0.7297129965
29	0.7290844364
30	0.7285842613
31	0.728047395
32	0.7279641221
33	0.727215614
34	0.7266964046
35	0.7261784914
36	0.7258481499
37	0.7253774895
38	0.7250863901
39	0.7247903135
40	0.7243987543
41	0.7241583419
42	0.7239264936
43	0.7238321473
44	0.723738363
45	0.7232737818
46	0.7230768748
47	0.7229774495
48	0.7228636901
49	0.7226374921
50	0.722321964
51	0.7221212818
52	0.7219939914
53	0.7216813292
54	0.7215877673
55	0.7210347929
56	0.7208447565
57	0.720677661
58	0.7202796942
59	0.7199730667
60	0.7198773658
61	0.7196251759
62	0.7194256229
63	0.7193409591
64	0.7190826029
65	0.7184978082
66	0.7180526071
67	0.717687192
68	0.7175794898
69	0.7173541363
70	0.7173002696
71	0.7169597317
72	0.7168124131
73	0.7165637796
74	0.7162042514
75	0.7158320661
76	0.7157481771
77	0.7155876064
78	0.7153202462
79	0.7152097003
80	0.7151089299
81	0.7147842308
82	0.7144969004
83	0.7142990809
84	0.7139831668
85	0.713551531
86	0.7133558509
87	0.7130076118
88	0.7128821768
89	0.7127082907
90	0.712505565
91	0.7121955772
92	0.7120043882
93	0.7118496696
94	0.7113744854
95	0.7111797747
96	0.7107763323
97	0.7106442409
98	0.7104319991
99	0.7102461029
100	0.7097868843
101	0.7095196958
102	0.7093805439
103	0.7090418655
104	0.7085856842
105	0.7083792435
106	0.7079886108
107	0.7078591107
108	0.7076709229
109	0.7073853553
110	0.7071042627
111	0.7069058137
112	0.7067569839
113	0.7064634781
114	0.7063065867
115	0.7061392178
116	0.7060550951
117	0.7058878618
118	0.7057208785
119	0.705265203
120	0.7051452062
121	0.7050198195
122	0.7048403632
123	0.704582899
124	0.7043926908
125	0.7042360163
126	0.7041395389
127	0.7040354694
128	0.7039185786
129	0.7036674618
130	0.7033120771
131	0.7030759128
132	0.7027020132
133	0.7023818983
134	0.7021645804
135	0.7020874258
136	0.7019838885
137	0.7015187098
138	0.7012737598
139	0.7010673681
140	0.7008924106
141	0.7007563767
142	0.7006579531
143	0.7004413502
144	0.7002497071
145	0.6998738364
146	0.699652761
147	0.6995050125
148	0.6992813926
149	0.6990037017
150	0.6987440915
151	0.6984944404
152	0.6982733972
153	0.6981283707
154	0.6980345431
155	0.6978339222
156	0.6975501724
157	0.697220658
158	0.6968441402
159	0.6966207661
160	0.6963504454
161	0.695858194
162	0.6955792292
163	0.6953544355
164	0.6951430314
165	0.694784222
166	0.694668069
167	0.6945624245
168	0.6942783626
169	0.6939019317
170	0.6937182359
171	0.6936148011
172	0.6934275744
173	0.6932974744
174	0.6931375667
175	0.6928608583
176	0.6927230395
177	0.6926064783
178	0.6924537656
179	0.6921521471
180	0.6920298965
181	0.6919768921
182	0.6917085405
183	0.691493519
184	0.6911758227
185	0.6911136625
186	0.6909233382
187	0.6906060939
188	0.6904661021
189	0.6902308404
190	0.6898542418
191	0.6897273315
192	0.6896138072
