iter	Passed	Remaining
0	34	34519
1	66	33239
2	83	27912
3	107	26733
4	175	34872
5	197	32706
6	223	31720
7	246	30554
8	278	30682
9	309	30618
10	335	30194
11	369	30429
12	397	30145
13	421	29656
14	446	29297
15	473	29126
16	495	28642
17	520	28410
18	535	27647
19	561	27501
20	586	27358
21	612	27214
22	639	27173
23	666	27094
24	691	26950
25	719	26943
26	746	26886
27	771	26780
28	799	26753
29	821	26577
30	851	26602
31	877	26542
32	887	25996
33	917	26073
34	947	26116
35	980	26243
36	1011	26333
37	1042	26397
38	1067	26297
39	1096	26316
40	1127	26363
41	1155	26361
42	1181	26304
43	1229	26711
44	1255	26641
45	1283	26610
46	1313	26640
47	1341	26609
48	1375	26689
49	1407	26740
50	1436	26724
51	1464	26704
52	1493	26682
53	1522	26666
54	1551	26657
55	1581	26655
56	1609	26619
57	1636	26579
58	1668	26605
59	1697	26590
60	1708	26295
61	1735	26251
62	1762	26210
63	1789	26175
64	1816	26136
65	1852	26216
66	1882	26219
67	1911	26198
68	1938	26149
69	1964	26094
70	1993	26080
71	2020	26045
72	2053	26074
73	2080	26029
74	2107	25988
75	2136	25973
76	2165	25959
77	2194	25944
78	2222	25911
79	2252	25900
80	2281	25888
81	2307	25836
82	2337	25828
83	2366	25805
84	2395	25791
85	2423	25754
86	2450	25711
87	2480	25706
88	2507	25662
89	2538	25665
90	2566	25639
91	2594	25605
92	2623	25587
93	2650	25550
94	2687	25606
95	2717	25590
96	2745	25560
97	2776	25555
98	2806	25539
99	2834	25511
100	2862	25475
101	2889	25434
102	2919	25427
103	2949	25409
104	2978	25388
105	3006	25355
106	3035	25331
107	3066	25322
108	3092	25277
109	3122	25260
110	3150	25229
111	3180	25215
112	3209	25190
113	3238	25169
114	3267	25143
115	3297	25129
116	3336	25183
117	3365	25154
118	3392	25119
119	3422	25100
120	3456	25113
121	3486	25089
122	3514	25055
123	3541	25019
124	3573	25013
125	3602	24985
126	3630	24957
127	3656	24913
128	3685	24885
129	3714	24859
130	3744	24839
131	3773	24816
132	3802	24785
133	3831	24761
134	3859	24732
135	3886	24690
136	3914	24657
137	3945	24642
138	3988	24705
139	4018	24682
140	4045	24648
141	4073	24610
142	4103	24590
143	4131	24557
144	4161	24540
145	4204	24590
146	4235	24578
147	4264	24551
148	4296	24539
149	4326	24518
150	4356	24492
151	4385	24468
152	4415	24446
153	4445	24420
154	4473	24389
155	4503	24366
156	4531	24332
157	4561	24307
158	4590	24278
159	4620	24258
160	4650	24234
161	4679	24207
162	4708	24176
163	4738	24154
164	4769	24134
165	4799	24114
166	4832	24102
167	4862	24078
168	4891	24049
169	4918	24015
170	4949	23996
171	4978	23966
172	5008	23941
173	5037	23914
174	5067	23888
175	5097	23863
176	5125	23831
177	5152	23795
178	5183	23773
179	5217	23770
180	5246	23741
181	5275	23710
182	5319	23747
183	5349	23723
184	5378	23693
185	5404	23652
186	5435	23632
187	5465	23606
188	5493	23571
189	5523	23546
190	5550	23511
191	5579	23479
192	5609	23457
193	5639	23428
194	5666	23392
195	5697	23370
196	5728	23348
197	5758	23323
198	5787	23297
199	5815	23261
200	5842	23223
201	5873	23204
202	5902	23175
203	5932	23149
204	5962	23123
205	5992	23096
206	6020	23062
207	6050	23038
208	6079	23009
209	6110	22985
210	6139	22956
211	6165	22915
212	6196	22896
213	6226	22869
214	6258	22849
215	6290	22833
216	6322	22812
217	6351	22783
218	6379	22752
219	6423	22773
220	6453	22748
221	6481	22713
222	6512	22690
223	6546	22679
224	6576	22652
225	6606	22624
226	6635	22596
227	6665	22568
228	6693	22536
229	6721	22500
230	6751	22476
231	6781	22447
232	6810	22418
233	6841	22394
234	6869	22363
235	6898	22332
236	6928	22306
237	6957	22275
238	6988	22252
239	7018	22225
240	7062	22243
241	7091	22212
242	7122	22188
243	7153	22164
244	7181	22132
245	7211	22104
246	7241	22077
247	7274	22058
248	7305	22033
249	7338	22016
250	7367	21985
251	7397	21956
252	7423	21918
253	7453	21889
254	7481	21857
255	7511	21829
256	7539	21798
257	7568	21767
258	7595	21731
259	7625	21703
260	7654	21673
261	7682	21640
262	7710	21607
263	7740	21580
264	7769	21550
265	7799	21522
266	7829	21493
267	7863	21477
268	7894	21454
269	7924	21424
270	7955	21399
271	7983	21367
272	8012	21338
273	8041	21305
274	8068	21270
275	8101	21251
276	8129	21220
277	8158	21188
278	8189	21164
279	8219	21135
280	8248	21106
281	8278	21076
282	8309	21052
283	8339	21025
284	8369	20995
285	8397	20963
286	8424	20928
287	8454	20902
288	8485	20875
289	8513	20842
290	8540	20809
291	8571	20782
292	8600	20751
293	8629	20722
294	8659	20693
295	8688	20665
296	8720	20642
297	8749	20611
298	8778	20581
299	8807	20551
300	8836	20519
301	8865	20489
302	8892	20454
303	8923	20430
304	8953	20402
305	8981	20370
306	9009	20336
307	9039	20308
308	9067	20277
309	9109	20275
310	9137	20243
311	9164	20208
312	9192	20176
313	9221	20145
